Timestamp,Who is your favorite music artist (broadly defined)?,What physical height would you like to be?,"If you had to live in city, but could pick any city in the world, what city would you live in?","If you could have 30 minutes to talk with any person, living or dead, who would you pick?","If you could travel to any location in the world for vacation, where would you go?",On a scale of 1 (gross) to five (awesome) how much do you like pizza?,Is Chicago-style deep dish actually pizza or is it really casserole?,What sport do you most enjoy watching?,Which is the most difficult to spell? ,What is the optimal number of people to hang out with?,Do you think you talk more or less than the average person?,"If you had a time machine and could visit any year you like, which year would you pick?",What's you favorite inspirational quote? You don't need to do this from memory. Feel free to look something up and then paste it in here. 
8/17/2020 8:56,lil baby and red hot chili peppers ,198.12,tokyo or amsterdamn,Nelson Mandela or Dave Chappelle,ibeza,4,pizza,hockey,liasion,2-Jan,Less,1968,"The worst thing to call somebody is crazy. It's dismissive. ""I don't understand this person. So they're crazy."" That's bullshit. These people are not crazy. They strong people. Maybe their environment is a little sick."
8/17/2020 8:56,J Cole ,193.04,NYC,Morgan Freeman ,"Hawaii, Maui ",5,pizza,Lacrosse ,lieutenant,6,More,2100,"Ignorance brings chaos, not knowledge. "
8/17/2020 11:03,Mac Miller,193.04,Chicago,Mac Miller,Jamaica,5,pizza,Lacrosse or Hockey,lieutenant,5-Apr,More,1776,"“You miss 100% of the shots you don’t take” -Wayne Gretzky, the GOAT"
8/17/2020 12:10,The Eagles,195.58,Seattle,Me from the future,The super clear ocean I forget what its called,4,pizza,Football,hors d'oeuvre,3,More,3000,"""With great power comes great responsibility"" "
8/17/2020 12:10,The Arcs,190.5,Seattle,Nikola Tesla,Rome,5,casserole,lacrosse,hors d'oeuvre,4,Less,3020,The secret of getting ahead is getting started.
8/17/2020 12:11,Kanye West ,187.96,Chicago ,My mom ,My hometown ,4,pizza,Soccer ,hors d'oeuvre,5-Apr,Less,2015,"""Never chase money or materials, chase excellence and the rest will follow"" - Aamir Khan in the movie 3 Idiots "
8/17/2020 12:11,Kenny Chesney,190.5,San Diego,FDR,Greece,4,pizza,Basketball,daiquiri,4,Less,1776,Our struggles determine our successes.
8/17/2020 12:11,Travis Scott,187.96,L.A,Great great great grandparent (whoever that is),Cancun,4,no opinion,Soccer,hors d'oeuvre,7,More,1999,"""The purpose of our lives is to be happy"""
8/17/2020 12:11,The Killers,185.42,"Bar Harbor, Maine",Teddy Roosevelt,Scandinavia ,5,casserole,Football,hors d'oeuvre,5,Less,1945,"“The purpose of life is not to be happy. It is to be useful, to be honorable, to be compassionate, to have it make some difference that you have lived and lived well.”  - Ralph Waldo Emerson "
8/17/2020 12:11,hard question,182.88,seattle?,elon musk,somewhere tropical,4,pizza,baseball,hors d'oeuvre,6-May,More,3000,“The secret of getting ahead is getting started.”
